SourceNomenCode,DestNomenCode,ReporterISO3,TradeFlow,ProductCode,TradeValue,Quantity,QuantityToken,NetWeight,PartnerISO3,Year
H0,GP,DDR,2,10,1,199,8,199,MMR,1988
H0,GP,JPN,2,35,2827.821,1465429,8,1465429,DZA,1988
H0,GP,DDR,2,32,78,85101,8,85101,SYR,1988
H0,GP,DDR,2,3,94,13687,8,13687,ROM,1988
H0,GP,DDR,2,35,6,1483,8,1483,BTN,1988
H0,GP,PRT,2,34,431468.835,1.14E+09,8,1.14E+09,WLD,1988
H0,GP,DDR,2,3,5037,6.30E+07,8,6.30E+07,KOR,1988
H0,GP,JPN,2,22,16.226,5417,8,5417,CHN,1988
H0,GP,PRT,2,26,193.3,24496,8,24496,CPV,1988
H0,GP,PRT,2,9,20.979,3125,8,3125,ITA,1988
H0,GP,JPN,2,30,11.356,1812,8,1812,BRB,1988
H0,GP,PRT,2,9,13.711,1874,8,1874,CHE,1988
H0,GP,PRT,2,8,182.296,52170,8,52170,CHE,1988
H0,GP,PRT,2,7,0.715,757,8,757,SWE,1988
H0,GP,PRT,2,38,407.383,90904,8,90904,DNK,1988
H0,GP,PRT,2,39,7573.488,2049945,8,2049945,NOR,1988
H0,GP,JPN,2,18,582.532,768375,8,768375,FRA,1988
H0,GP,PRT,2,37,763.314,371472,8,371472,ISR,1988
H0,GP,PRT,2,34,5.043,2562,8,2562,MAC,1988
H0,GP,PRT,2,27,1481.598,336078,8,336078,CHN,1988
H0,GP,PRT,2,27,55.607,21050,8,21050,CIV,1988
H0,GP,PRT,2,33,5106.821,9456920,8,9456920,KOR,1988
H0,GP,AUS,2,25,6.913,0,-1,,IDN,1988
H0,GP,AUS,2,33,278.98,1194553,7,878437,PHL,1988
H0,GP,AUS,2,33,2746.48,9537315,7,7007741,IND,1988
H0,GP,AUS,2,33,8.853,218,8,218,SLV,1988
H0,GP,AUS,2,34,22.112,2749,8,2749,LBN,1988
H0,GP,AUS,2,19,1673.964,3984062,8,3984062,MDG,1988
H0,GP,AUS,2,41,584.28,39197,8,39197,MOZ,1988
H0,GP,AUS,2,18,1201.032,7.91E+07,8,7.91E+07,AUT,1988
H0,GP,AUS,2,19,34.793,13500,8,13500,ISR,1988
H0,GP,AUS,2,36,853.164,286624,8,286624,BHR,1988
H0,GP,AUS,2,34,30.182,13869,8,13869,MUS,1988
H0,GP,AUS,2,25,381.967,558803,8,558803,BRN,1988
H0,GP,AUS,2,21,725.917,1093250,8,1093250,SAU,1988
H0,GP,DDR,2,35,3,97,8,97,MAC,1988
H0,GP,AUS,2,4,3333.478,1.45E+07,8,1.45E+07,ITA,1988
H0,GP,DDR,2,26,349,119164,7,111216,TUR,1988
H0,GP,DDR,2,26,3460,3852997,7,3852908,OAS,1988
H0,GP,DDR,2,22,2220,2877956,7,2863111,AUT,1988
H0,GP,DDR,2,32,1184,1972416,7,1909249,TUR,1988
H0,GP,AUS,2,18,46850.791,2.04E+08,8,2.04E+08,NLD,1988
H0,GP,AUS,2,31,145.931,47683,8,47683,NLD,1988
H0,GP,AUS,2,18,209610.522,7.28E+09,8,7.28E+09,KOR,1988
H0,GP,DDR,2,40,29,0,-1,,SWE,1988
H0,GP,DDR,2,18,26743,0,-1,,WLD,1988
H0,GP,AUS,2,19,16082.579,1.19E+07,8,1.19E+07,MYS,1988
H0,GP,AUS,2,39,8378.325,205052,8,205052,MYS,1988
H0,GP,AUS,2,27,4922.165,675969,8,675969,SGP,1988
H0,GP,AUS,2,22,6885.656,3515218,8,3515218,PNG,1988
H0,GP,AUS,2,31,0.781,20,8,20,LAO,1988
H0,GP,AUS,2,1,22.156,36800,8,36800,WLD,1988
H0,GP,DDR,2,29,2,84,8,84,SOM,1988
H0,GP,IND,2,36,1127.364,0,-1,,SVU,1988
H0,GP,IND,2,42,182.726,180206,4,,LKA,1988
H0,GP,IND,2,42,2.33,2000,4,,IRN,1988
H0,GP,IND,2,27,5.661,1000,4,,JOR,1988
H0,GP,IND,2,29,125.29,21377,6,,NIC,1988
H0,GP,IND,2,27,41.434,49031,2,,CHN,1988
H0,GP,IND,2,10,6.856,21015,5,,AFG,1988
H0,GP,IND,2,41,752.701,8393,5,,GHA,1988
H0,GP,IND,2,37,161.382,162971,5,,MAR,1988
H0,GP,IND,2,42,9.198,22708,5,,MUS,1988
H0,GP,IND,2,35,12.744,32000,8,32000,MMR,1988
H0,GP,IND,2,34,69.901,36300,8,36300,CUB,1988
H0,GP,IND,2,39,714.01,501573,8,501573,CIV,1988
H0,GP,IND,2,4,23.291,36000,8,36000,LBN,1988
H0,GP,IND,2,8,395.625,416591,8,416591,KOR,1988
H0,GP,IND,2,13,259.725,41405,8,41405,BLX,1988
H0,GP,IND,2,30,20.419,8409,8,8409,OAS,1988
H0,GP,IND,2,27,313.689,99820,8,99820,BHR,1988
H0,GP,IND,2,23,11313.29,1.73E+07,8,1.73E+07,OMN,1988
H0,GP,IND,2,29,4.628,296,8,296,KEN,1988
H0,GP,IND,2,25,1.153,1500,8,1500,TUR,1988
H0,GP,DDR,2,36,2,97,8,97,WSM,1988
H0,GP,CHE,2,42,19211.081,0,-1,,ISR,1988
H0,GP,CHE,2,41,8.078,0,-1,,LCA,1988
H0,GP,CHE,2,41,2820.807,0,-1,,EGY,1988
H0,GP,CHE,2,29,52.039,4021,8,4021,UNS,1988
H0,GP,CHE,2,42,323.419,300002,4,,DDR,1988
H0,GP,CHE,2,33,106.185,25025,7,22608,IND,1988
H0,GP,CHE,2,31,86.885,6230,8,6230,ETF,1988
H0,GP,CHE,2,31,89.808,1311,8,1311,GIN,1988
H0,GP,CHE,2,30,22.585,1777,8,1777,CIV,1988
